n_neurons,firing_count,leak_rate,reset_potential,excitatory_fraction,k_prop,decay_alpha,oja_alpha,learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.015611,0.015611,0.248952,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.074688,0.074688,0.249751,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.050069,0.050069,0.249221,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.099769,0.099769,0.250691,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.064403,0.064403,0.249485,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.026782,0.026782,0.249001,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.065553,0.065553,0.249512,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.008970,0.008970,0.248935,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.019394,0.019394,0.248965,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.008249,0.008249,0.248933,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.035278,0.035278,0.249056,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.079666,0.079666,0.249901,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.029588,0.029588,0.249017,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
500,50,0.150000,0.600000,1.000000,0.030000,0.000000,0.000000,0.068365,0.068365,0.249580,0.000000,500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
