learning_rate,forgetting_rate,avg_weight,std_weight,avg_firing_count,std_firing_count,avg_avalanche_size,std_avalanche_size,avg_avalanche_duration,std_avalanche_duration,n_avalanches
0.01,0.09470139975548643,0.041801,0.000395,0.1673,0.4246,0.0000,0.0000,0.0000,0.0000,0
0.01,0.045634894330629804,0.047712,0.000499,0.2268,0.5365,0.0000,0.0000,0.0000,0.0000,0
0.01,0.036195989073744474,0.050229,0.000477,0.2315,0.5412,0.0000,0.0000,0.0000,0.0000,0
0.01,0.030997282811008126,0.051930,0.000463,0.2273,0.5264,0.0000,0.0000,0.0000,0.0000,0
0.01,0.031830694311997615,0.052033,0.000534,0.2470,0.5788,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01870227977580763,0.059556,0.000689,0.2958,0.6409,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0424806478266904,0.047266,0.000487,0.2142,0.5190,0.0000,0.0000,0.0000,0.0000,0
0.01,0.024979819930168397,0.055244,0.000586,0.2737,0.6081,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06313120675605517,0.043855,0.000444,0.2057,0.4959,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06517838144651232,0.044336,0.000466,0.2092,0.4924,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03621648854533637,0.050243,0.000460,0.2255,0.5345,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05311382166440443,0.045011,0.000478,0.2037,0.5242,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02754496027057195,0.053536,0.000541,0.2510,0.5809,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06735454715507327,0.043120,0.000365,0.1665,0.4216,0.0000,0.0000,0.0000,0.0000,0
0.01,0.023191293057129796,0.056393,0.000586,0.2720,0.6103,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05834985235504445,0.043953,0.000436,0.1943,0.5035,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06060091812614855,0.043477,0.000436,0.2045,0.5284,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09992169590292409,0.041562,0.000354,0.1822,0.4659,0.0000,0.0000,0.0000,0.0000,0
0.01,0.03781390105513413,0.049351,0.000480,0.2310,0.5363,0.0000,0.0000,0.0000,0.0000,0
0.01,0.02280983687621078,0.056266,0.000594,0.2735,0.6060,0.0000,0.0000,0.0000,0.0000,0
0.01,0.09450046165878578,0.041591,0.000398,0.1705,0.4289,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0648463357129332,0.044209,0.000428,0.1950,0.4822,0.0000,0.0000,0.0000,0.0000,0
0.01,0.013798102696746053,0.064074,0.000860,0.3380,0.6894,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0011338820783992325,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07453931774239875,0.042403,0.000354,0.1648,0.4250,0.0000,0.0000,0.0000,0.0000,0
0.01,0.042590791675593605,0.047803,0.000481,0.2147,0.5197,0.0000,0.0000,0.0000,0.0000,0
0.01,0.08542934517505794,0.040789,0.000386,0.1822,0.4399,0.0000,0.0000,0.0000,0.0000,0
0.01,0.04327925892397704,0.047112,0.000457,0.2003,0.4971,0.0000,0.0000,0.0000,0.0000,0
0.01,0.016710372634577152,0.061241,0.000745,0.3098,0.6560,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05589701545296326,0.044959,0.000490,0.2122,0.5222,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07572608209510112,0.042858,0.000340,0.1747,0.4612,0.0000,0.0000,0.0000,0.0000,0
0.01,0.0027904067587118104,1.000000,0.000000,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.010872959584063329,0.067718,0.000956,0.3585,0.7085,0.0000,0.0000,0.0000,0.0000,0
0.01,0.026420496100151063,0.054233,0.000569,0.2540,0.5835,0.0000,0.0000,0.0000,0.0000,0
0.01,0.017178938285219228,0.060992,0.000746,0.3118,0.6581,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06717522582720394,0.043353,0.000381,0.1745,0.4313,0.0000,0.0000,0.0000,0.0000,0
0.01,0.025088237961010843,0.055081,0.000583,0.2687,0.5992,0.0000,0.0000,0.0000,0.0000,0
0.01,0.049870166955168,0.045770,0.000485,0.2275,0.5438,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06133333661843014,0.042789,0.000425,0.1945,0.5154,0.0000,0.0000,0.0000,0.0000,0
0.01,0.01339673090113034,0.064604,0.000870,0.3412,0.6930,0.0000,0.0000,0.0000,0.0000,0
0.01,0.009450076170897038,0.985983,0.040446,300.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0
0.01,0.05471718130887387,0.044894,0.000429,0.1878,0.4965,0.0000,0.0000,0.0000,0.0000,0
0.01,0.06674234200682794,0.043662,0.000381,0.1797,0.4466,0.0000,0.0000,0.0000,0.0000,0
0.01,0.07969676204117802,0.043191,0.000405,0.1903,0.4670,0.0000,0.0000,0.0000,0.0000,0
0.01,0.024335986364448517,0.055924,0.000602,0.2772,0.6135,0.0000,0.0000,0.0000,0.0000,0
0.01,0.020550210128545982,0.057787,0.000646,0.2860,0.6227,0.0000,0.0000,0.0000,0.0000,0
